user_id,flavor,rating
1,Pan (Betel Leaf),5
1,Coconut,5
1,Tutti Frutti,4
1,Butterscotch,5
1,Lavender Honey,4
1,Kesar Pista Kulfi,5
1,Jamun,4
1,Vanilla,5
1,Guava,4
1,Elaichi (Cardamom),5
1,Tiramisu,5
1,Anjeer (Fig),4
1,Pineapple,4
1,Strawberry Cheesecake,4
1,Rabri,5
1,Peanut Butter Cup,5
1,Hazelnut,5
1,Badam (Almond),5
2,Blueberry Cheesecake,4
2,Elaichi (Cardamom),5
2,Mango Sorbet,4
2,Lavender Honey,5
2,Tutti Frutti,4
2,Tender Coconut,4
2,Anjeer (Fig),4
2,Kesar (Saffron),5
2,Red Velvet,5
2,Sitaphal (Custard Apple),4
2,Dry Fruit,5
2,Pan (Betel Leaf),5
2,Gajar Halwa,5
2,Mango Kulfi,4
2,Coffee,5
2,Aamras,4
2,Strawberry,3
2,Thandai,5
3,Red Velvet,3
3,Mango Alphonso,5
3,Gajar Halwa,4
3,Rose (Gulab),4
3,Strawberry Cheesecake,5
3,Salted Caramel,4
3,Caramel Swirl,4
3,Pineapple,5
3,Tiramisu,4
3,Chocolate Almond,2
3,Vanilla,5
3,Gulkand,4
3,Pan (Betel Leaf),4
3,Matcha Green Tea,4
3,S'mores,3
4,Pineapple,4
4,Watermelon Sorbet,4
4,Chikoo (Sapodilla),5
4,Chocolate Fudge,4
4,Tutti Frutti,5
4,Rajbhog,5
4,Rose (Gulab),5
4,Lemon Sorbet,3
4,Coconut,5
4,Custard,5
4,Aamras,5
4,Salted Caramel,5
4,Birthday Cake,5
4,Red Velvet,5
4,Mint Chocolate Chip,5
4,Strawberry Cheesecake,5
4,Chocolate,4
4,Butterscotch,5
4,Kesar (Saffron),5
4,Kesar Pista Kulfi,5
4,Litchi,5
5,Ferrero Rocher,5
5,Peanut Butter Cup,5
5,Coconut,5
5,Kesar Pista Kulfi,5
5,Jamun,5
5,Thandai,5
5,Kesar (Saffron),5
5,Cookie Dough,5
5,Coffee,5
5,Rose (Gulab),5
5,Mango Alphonso,4
5,Pan (Betel Leaf),5
5,Vanilla,5
5,Cookies and Cream,5
5,Guava,5
5,Birthday Cake,5
5,Tiramisu,5
5,Orange Cream,5
5,Dry Fruit,5
5,Neapolitan,5
5,Hazelnut,5
5,Watermelon Sorbet,3
6,Custard,5
6,Orange Cream,4
6,Rajbhog,5
6,Chikoo (Sapodilla),5
6,Blueberry Cheesecake,5
6,Birthday Cake,5
